,contributor_uuid,article_sha256,article_number,question_text,answer_text,start_pos,end_pos
1116,85579cf2-e01c-45c5-b9e7-34b40467148d,4b537e0ed21179a29ed28da28057d338e67330ae12123ccceba6724f35bd68a4,100059,Is a general or singular causal claim made? Highlight the section(s) that supports your answer.,"General Causation (In general, X causes Y.)",1401,1560
1117,85579cf2-e01c-45c5-b9e7-34b40467148d,4b537e0ed21179a29ed28da28057d338e67330ae12123ccceba6724f35bd68a4,100059,What evidence is given for the primary causal claim? Select all that apply.,The correlation appears across multiple independent contexts,1306,1399
1118,85579cf2-e01c-45c5-b9e7-34b40467148d,4b537e0ed21179a29ed28da28057d338e67330ae12123ccceba6724f35bd68a4,100059,What evidence is given for the primary causal claim? Select all that apply.,Correlation,1562,1677
1119,85579cf2-e01c-45c5-b9e7-34b40467148d,4b537e0ed21179a29ed28da28057d338e67330ae12123ccceba6724f35bd68a4,100059,What evidence is given for the primary causal claim? Select all that apply.,Experts are cited,1165,1197
1120,85579cf2-e01c-45c5-b9e7-34b40467148d,4b537e0ed21179a29ed28da28057d338e67330ae12123ccceba6724f35bd68a4,100059,How representative is the sample of the population that the claim is made about?,Fairly representative,0,0
1121,85579cf2-e01c-45c5-b9e7-34b40467148d,4b537e0ed21179a29ed28da28057d338e67330ae12123ccceba6724f35bd68a4,100059,What is the best alternative explanation you can think of that could lead to the same set of evidence?,"Quarantined people in this experiment are likely dealing with this disease that can also have a toll on mental health, as well as worries surrounding missing work, etc. that aren't just related to isolation.",0,0
1122,85579cf2-e01c-45c5-b9e7-34b40467148d,4b537e0ed21179a29ed28da28057d338e67330ae12123ccceba6724f35bd68a4,100059,"How likely is your alternative explanation for the same evidence, as compared to the author’s explanation?",Equally likely,0,0
1123,85579cf2-e01c-45c5-b9e7-34b40467148d,4b537e0ed21179a29ed28da28057d338e67330ae12123ccceba6724f35bd68a4,100059,Is data presented as evidence for a pattern (e.g. A relationship between two variables)?,No,0,0
1124,85579cf2-e01c-45c5-b9e7-34b40467148d,4b537e0ed21179a29ed28da28057d338e67330ae12123ccceba6724f35bd68a4,100059,Does the author suggest in any way that further evidence might improve our understanding of the topic?,"Yes, implicitly",1023,1106
1125,85579cf2-e01c-45c5-b9e7-34b40467148d,4b537e0ed21179a29ed28da28057d338e67330ae12123ccceba6724f35bd68a4,100059,"How difficult was this task for you, on the whole?",5: Middling difficulty,0,0
1126,85579cf2-e01c-45c5-b9e7-34b40467148d,4b537e0ed21179a29ed28da28057d338e67330ae12123ccceba6724f35bd68a4,100059,"How confident are you about your answers, on the whole?",5: 50-50,0,0
